item_id	item_index	parent_asin
B00452V66G	0	B00XWE00F6
B005O65JXI	1	B0BV93KQZR
B002LE8BJA	2	B01LW9B75D
B003S68Q0Y	3	B07QD2LFLX
B004P8K24W	4	B07C1263TQ
B003MVZ60S	5	B003MVZ60S
B004WKRU7U	6	B07FK9RMGB
B003XIJ566	7	B003XIJ566
B00F6S0XL2	8	B07TZP1SD3
B000CRFOMK	9	B000CRFOMK
B00DQFGH80	10	B00FB50S0Q
B00W8YAWDQ	11	B00W8YAWDQ
B00XM883BK	12	B07VDMH5YD
B013DHNLN4	13	B013DHNLN4
B01A09KCJ4	14	B01A09KCJ4
B00L3KO3YU	15	B01N75TWSA
B00NH11N5A	16	B00EZMZTBO
B06XHXRXP1	17	B06XHXRXP1
B00ZV9RDKK	18	B075X8471B
B01N32NCPM	19	B075JZNHTD
B01MRFY61G	20	B07LD9TTZY
B06XP129CT	21	B08CZ4KZHN
B010SDZZ80	22	B08PSRDKRM
B01N7QDO7M	23	B01N6SN1JO
B01DM6BDA4	24	B07G5ZG3Q4
B011MYEMKQ	25	B07G61JRYR
B019WAQMVY	26	B09JKYBVJD
B00FV12VSW	27	B09K8T2SBQ
B0131PHDQY	28	B07YJMPY7V
B017EVR2VM	29	B017EVR2VM
B07KGVB6D6	30	B07KGVB6D6
B07JCJP2N5	31	B07K7TFMTX
B07X4V2M3B	32	B0BV2M58F6
B07GW9TJ3G	33	B07GW9TJ3G
B01MZEEFNX	34	B07KTYJ769
B07XJ8C8F7	35	B08DLSLCF3
B07S1CGQ9Z	36	B08TRCQHWZ
B09BZZ3MM7	37	B0BFD4M9C8
B005EOWBKE	38	B01FU08V64
B01LZV6TYQ	39	B01LZV6TYQ
B000UXZQ42	40	B0BS1615YC
B073BVWRSP	41	B087D9VRGC
B01C6031MA	42	B01C6031MA
B010OYASRG	43	B0BW4PFM58
B01AG56HYQ	44	B01AG56HYQ
B00TKFCYP0	45	B0BPWG9DBX
B08931JJLV	46	B09373DS97
B0773ZPKS2	47	B0773ZPKS2
B07HHLX1R8	48	B08Q4JC662
B01BV1XB2K	49	B087D8YFCD
B006JRIDHK	50	B003NR57BY
B0143UM4TC	51	B097KBF8JK
B06X16Z7DZ	52	B06X16Z7DZ
B0009YJXMS	53	B08MWHSF8M
B0009YJXMI	54	B09LSJS48Q
B003I4FHNK	55	B003I4FHNK
B00F5NB7MW	56	B00F5NB7MW
B004G7O1PI	57	B01MYMMZS1
B0088PUEPK	58	B0BS2ZMHCL
B009GUXU52	59	B0BQLQHP74
B004IZN3K2	60	B004IZN3K2
B0015EDVVU	61	B0C5SC4TVZ
B00IYETYX8	62	B00IYETYX8
